template_id,name,created_date,updated_date,note
TjTPHM,SERVEWARE,2024-04-24,2024-11-19,
WpUEKy,REFRIGERATION,2024-04-30,2025-05-30,
RrzDTs,Most Selling Item,2024-05-06,2025-04-11,
VZYcqz,BURNERS & FRYER,2024-05-16,2025-06-16,
UeaLW4,REFRIGERATION 2,2024-06-04,2025-07-10,
RWT35v,Dive into Celebrate Festival Amazing Offers!,2024-06-13,2024-06-18,
VgaL9w,2024-06-21 18:32 Untitled email template,2024-06-21,2024-07-19,Untitled/unnamed
Wix8km,RG-REFRIGERATION-Jul 1 2024,2024-07-01,2025-04-30,
Yrz4Et,2024-07-23 16:04 Untitled email template,2024-07-23,2025-06-12,Untitled/unnamed
TjpYVH,Food Prepration 30 SEP 2024,2024-09-30,2025-07-14,
XUbyMi,Combi Oven 30 SEP 2024,2024-09-30,2025-05-06,
SsE63V,Chinese Wok 30 SEP 2024,2024-10-01,2024-11-09,
VQ68i2,2024-12-23 19:42 Untitled email template,2024-12-24,2025-01-02,Untitled/unnamed
UFta6m,2025-03-25 18:07 Untitled email template,2025-03-25,2025-03-25,Untitled/unnamed
VRyFtj,2025-04-30 12:51 Untitled email template,2025-04-30,2025-04-30,Untitled/unnamed
VfU8k9,2025-04-30 15:09 Untitled email template,2025-04-30,2025-04-30,Untitled/unnamed
X2QLzq,2025-05-06 17:09 Untitled email template,2025-05-06,2025-05-06,Untitled/unnamed
VzJ2Gx,2025-05-15 16:14 Untitled email template,2025-05-15,2025-05-15,Untitled/unnamed
RbdCuS,2025-06-16 12:53 Untitled email template,2025-06-16,2025-06-16,Untitled/unnamed
Y76gQG,2025-07-02 18:46 Untitled email template,2025-07-02,2025-07-02,Untitled/unnamed
SZidpV,Email Subject,2025-07-11,2025-07-11,
SJpfDm,Refrigeration Solutions 09-02-2025,2025-07-17,2025-09-02,
ShARMb,Combi Ovens 09-02-2025 ,2025-07-24,2025-09-02,
U2MdHf,Refrigeration Solutions 09-02-2025,2025-07-28,2025-09-02,
UAvUyA,Cooking Equipment 09-02-2025 ,2025-08-22,2025-09-02,
XziWRR,Food Preperation Equipment 09-02-2025 ,2025-09-02,2025-09-02,
XRigmG,Pizza Equipment ,2025-09-04,2025-09-04,
XgsAys,Complete Restaurant Equipment Solutions,2025-09-11,2025-09-11,
Uph3xg,Rapid Service Restaurant Equipment Solutions,2025-09-18,2025-09-18,
XRKCH9,High-Volume Production Kitchen Equipment Solutions,2025-10-07,2025-10-08,
TXQRV8,Complete Restaurant Kitchen Equipment Solutions,2025-10-09,2025-10-10,
RFx4JV,2025-10-20 16:52 Untitled email template,2025-10-20,2025-10-21,Untitled/unnamed
